Country;Happiness_Rank;Happiness_Score;Economy;Family;Life_Expectancy;Freedom;Government_Corruption;Generosity;Year;
Gabon;103;4.758;1.036;1.164;0,280555556;0,247222222;0.032;0.052;2018;
Palestinian Territories;104;4.743;0,445833333;1.217;0,418055556;0,184722222;0.086;0.076;2018;
South Africa;105;4.724;0,065277778;01.41;00.33;0,358333333;0,071527778;0.056;2018;
Iran;106;4.707;1.059;0,535416667;0,479861111;0,31875;0,195833333;0,089583333;2018;
Ivory Coast;107;4.671;0,375694444;0,605555556;00.08;0,324305556;0,101388889;0,071527778;2018;
Ghana;108;4.657;0,411111111;0,622222222;0,234027778;0,346527778;0,147222222;0.029;2018;
Senegal;109;4.631;0,297916667;1.117;0,300694444;0,281944444;0,095833333;0.082;2018;
Laos;110;4.623;0,05;1.034;0,30625;0,434722222;00.23;0,120833333;2018;
Tunisia;111;4.592;00.09;0,629166667;0,047916667;0,188194444;00.04;0.063;2018;
Albania;112;4.586;0,636111111;0,567361111;0,054861111;0,290972222;0,103472222;0.032;2018;
Sierra Leone;113;4.571;0,177777778;0,564583333;0;0,246527778;0,165277778;0.053;2018;
Congo (Brazzaville);114;4.559;0,473611111;0,563194444;0,238194444;0,356944444;0.091;0.077;2018;
Bangladesh;115;04.05;0,369444444;0,059027778;0,402083333;00.58;0,10625;0,1;2018;
Sri Lanka;116;4.471;0,6375;1.314;0,466666667;0,40625;0,213194444;00.05;2018;
Iraq;117;4.456;01.01;0,674305556;0,372222222;0,211111111;0,102777778;0.095;2018;
Mali;118;4.447;00.37;1.233;0,105555556;0,254861111;0,096527778;0.056;2018;
Namibia;119;4.441;0,606944444;1.281;0,253472222;0,360416667;0.051;0.064;2018;
Cambodia;120;4.433;0,38125;1.088;0,317361111;0,483333333;0,177777778;0.065;2018;
Burkina Faso;121;4.424;0,218055556;1.097;0,176388889;0,216666667;0,121527778;0,088888889;2018;
Egypt;122;4.419;0,614583333;1.025;0,384027778;0,216666667;0.092;0,074305556;2018;
Mozambique;123;4.417;0,1375;0,626388889;0,120138889;0,36875;0,143055556;0,109722222;2018;
Kenya;124;04.41;0,342361111;1.048;0,315277778;0,35;0,244444444;0.055;2018;
Zambia;125;4.377;0,390277778;1.047;0,204861111;0,349305556;0,153472222;0.082;2018;
Mauritania;126;4.356;0,386805556;1.245;0,202777778;0,089583333;0,093055556;0.093;2018;
Ethiopia;127;04.35;0,213888889;0,065972222;0,271527778;0,313888889;00.22;0,101388889;2018;
Georgia;128;04.34;0,592361111;0,411111111;0,446527778;0,260416667;0.038;0,149305556;2018;
Armenia;129;4.321;0,566666667;0,06875;0,4625;00.26;0.077;0.028;2018;
Myanmar;130;4.308;0,473611111;1.174;0,297916667;00.58;0,415277778;0,123611111;2018;
Chad;131;4.301;0,248611111;0,629861111;0.053;0,13125;0,125694444;00.06;2018;
Congo (Kinshasa);132;4.245;0.069;1.136;0,141666667;0,216666667;0,136805556;0.052;2018;
India;133;04.19;0,500694444;0,51875;0,336805556;0,374305556;0,119444444;0.093;2018;
Niger;134;4.166;0,090972222;0,602083333;0,153472222;00.39;0,121527778;0.099;2018;
Uganda;135;4.161;0,223611111;01.09;0,164583333;00.45;0,179861111;0.061;2018;
Benin;136;4.141;0,2625;0,258333333;00.24;00.44;0,113194444;0.067;2018;
Sudan;137;4.139;0,420138889;01.24;0,216666667;0.016;0,093055556;0.082;2018;
Ukraine;138;4.103;0,550694444;1.413;0,422916667;0,113194444;0,129861111;0.011;2018;
Togo;139;3.999;0,179861111;0,329166667;0,175694444;0,301388889;0,109722222;0,070138889;2018;
Guinea;140;3.964;0,238888889;0,55;0,146527778;0,273611111;0,128472222;0.094;2018;
Lesotho;141;3.808;0,327777778;1.215;0.079;0,29375;0,080555556;0,077777778;2018;
Angola;142;3.795;0,050694444;1.125;0,186805556;0;0.079;0.061;2018;
Madagascar;143;3.774;0,181944444;0,630555556;0,279166667;0,153472222;0,107638889;0.049;2018;
Zimbabwe;144;3.692;0,247916667;1.094;0,172222222;0,281944444;0,091666667;0.099;2018;
Afghanistan;145;3.632;0,230555556;0,372916667;0,177083333;0.085;0,132638889;0.036;2018;
Botswana;146;03.59;1.017;1.174;0,289583333;0,386805556;0.042;0.092;2018;
Malawi;147;3.587;0,129166667;0,375694444;0,2125;0,36875;00.21;00.08;2018;
Haiti;148;3.582;0,21875;0,495833333;0,200694444;0.025;0,272222222;0,072222222;2018;
Liberia;149;3.495;0.076;0,595833333;0,185416667;0,290972222;0,143055556;00.03;2018;
Syria;150;3.462;0,478472222;0,265277778;0,374305556;0.088;0,261111111;0,1;2018;
Rwanda;151;3.408;0,230555556;0,622222222;00.04;0,441666667;00.02;0,308333333;2018;
Yemen;152;3.355;0,306944444;1.073;0,238194444;0,169444444;0.083;0.064;2018;
Tanzania;153;3.303;0,315972222;0,688194444;0,264583333;0,334027778;00.27;0.097;2018;
South Sudan;154;3.254;0,234027778;0,422222222;0,122916667;0,077777778;0,155555556;0,073611111;2018;
Central African Republic;155;3.083;0.024;0;00.01;0,211805556;0,151388889;0.038;2018;
Burundi;156;2.905;0.091;0,435416667;0,100694444;0.065;0,103472222;0.076;2018;
Finland;1;7.769;01.34;1.587;0,684722222;0,413888889;0,10625;0,272916667;2019;
Denmark;2;07.06;1.383;1.573;0,691666667;0,411111111;0,175;00.41;2019;
Norway;3;7.554;1.488;1.582;1.028;0,41875;0,188194444;0,236805556;2019;
Iceland;4;7.494;01.38;1.624;1.026;0,410416667;0,245833333;0,081944444;2019;
Netherlands;5;7.488;1.396;1.522;0,69375;0,386805556;0,223611111;0,206944444;2019;
Switzerland;6;07.48;1.452;1.526;1.052;0,397222222;0,182638889;0,238194444;2019;
Sweden;7;7.343;1.387;1.487;1.009;0,398611111;0,185416667;0,259027778;2019;
New Zealand;8;7.307;1.303;1.557;1.026;0,40625;00.33;00.38;2019;
Canada;9;7.278;1.365;1.505;1.039;0,405555556;0,197916667;0,213888889;2019;
Austria;10;7.246;1.376;1.475;1.016;0,369444444;0,169444444;0,156944444;2019;
Australia;11;7.228;1.372;1.548;1.036;0,386805556;0,230555556;00.29;2019;
Costa Rica;12;7.167;1.034;1.441;0,66875;0,3875;0,1;0.093;2019;
Israel;13;7.139;1.276;1.455;1.029;0,257638889;0,18125;0.082;2019;
Luxembourg;14;07.09;1.609;1.479;1.012;0,365277778;0,134722222;0,219444444;2019;
United Kingdom;15;7.054;1.333;1.538;0,691666667;00.45;0,241666667;0,193055556;2019;
Ireland;16;7.021;1.499;1.553;0,69375;0,358333333;0,206944444;00.31;2019;
Germany;17;6.985;1.373;1.454;0,685416667;0,34375;0,18125;0,184027778;2019;
Belgium;18;6.923;1.356;1.504;0,684722222;0,328472222;00.16;00.21;2019;
United States;19;6.892;1.433;1.457;0,606944444;0,315277778;00.28;0,088888889;2019;
Czech Republic;20;6.852;1.269;1.487;0,063888889;0,317361111;0.046;0.036;2019;
United Arab Emirates;21;6.825;1.503;01.31;0,572916667;0,415277778;0,181944444;0,126388889;2019;
Malta;22;6.726;01.03;01.52;0,69375;0,391666667;0,260416667;0,104861111;2019;
Mexico;23;6.595;01.07;1.323;0,597916667;0,300694444;0.074;0.073;2019;
France;24;6.592;1.324;1.472;1.045;0,302777778;0,077083333;0,127083333;2019;
Taiwan;25;6.446;1.368;01.43;0,634722222;0,24375;0,168055556;0.097;2019;
Chile;26;6.444;1.159;1.369;0,063888889;0,247916667;0,129861111;0.056;2019;
Guatemala;27;6.436;00.08;1.269;0,518055556;0,371527778;0,121527778;0.078;2019;
Saudi Arabia;28;6.375;1.403;1.357;0,552083333;0,304861111;00.08;0,091666667;2019;
Qatar;29;6.374;1.684;1.313;0,604861111;0,385416667;00.22;0,115972222;2019;
Spain;30;6.354;1.286;1.484;1.062;0,251388889;0,10625;0.079;2019;
Panama;31;6.321;1.149;1.442;0,063194444;0,358333333;0,075694444;0.054;2019;
Brazil;32;06.03;1.004;1.439;0,556944444;00.39;0.099;0.086;2019;
Uruguay;33;6.293;1.124;1.465;0,61875;0,363194444;0,088194444;00.15;2019;
Singapore;34;6.262;1.572;1.463;1.141;0,386111111;0,188194444;0,314583333;2019;
El Salvador;35;6.253;0,551388889;1.242;0,547916667;00.43;0.093;0.074;2019;
Italy;36;6.223;1.294;1.488;1.039;0,160416667;0,109722222;00.03;2019;
Bahrain;37;6.199;1.362;1.368;0,604861111;0,372222222;0,177083333;00.11;2019;
Slovakia;38;6.198;1.246;1.504;0,611805556;0,231944444;0,084027778;0.014;2019;
Trinidad & Tobago;39;6.192;1.231;1.477;0,495138889;0,339583333;0,128472222;0.016;2019;
Poland;40;6.182;1.206;1.438;0,613888889;0,335416667;0,08125;00.05;2019;
Uzbekistan;41;6.174;0,517361111;1.529;0,525;0,438194444;0,223611111;00.24;2019;
Lithuania;42;6.149;1.238;1.515;0,568055556;0,202083333;0.043;0.042;2019;
Colombia;43;6.125;0,684027778;01.41;0,584027778;00.47;0.099;0.034;2019;
Slovenia;44;6.118;1.258;1.523;0,661805556;0,391666667;0,1;0.057;2019;
Nicaragua;45;6.105;0,481944444;1.325;0,579861111;0,302083333;00.02;0,088194444;2019;
Kosovo;46;06.01;0,6125;1.232;0,526388889;0,339583333;0,181944444;0.006;2019;
Argentina;47;6.086;1.092;1.432;0,611805556;0,327083333;0.066;00.05;2019;
Romania;48;06.07;1.162;1.232;0,572916667;0,320833333;0.083;0.005;2019;
Cyprus;49;6.046;1.263;1.223;1.042;0,281944444;00.19;0.041;2019;
Ecuador;50;6.028;0,633333333;1.312;0,602777778;0,345833333;0,0875;0.087;2019;
Kuwait;51;6.021;01.05;1.319;0,561111111;0,342361111;0,098611111;0.097;2019;
Thailand;52;6.008;01.05;1.409;0,575;0,386805556;0,249305556;0.028;2019;
Latvia;53;0,273611111;1.187;1.465;0,563888889;0,183333333;0.075;0.064;2019;
South Korea;54;5.895;1.301;1.219;1.036;0,110416667;0,121527778;0.056;2019;
Estonia;55;5.893;1.237;1.528;0,606944444;0,34375;0,071527778;0,111805556;2019;
Jamaica;56;0,270138889;0,577083333;1.478;0,577083333;00.49;0,074305556;0.028;2019;
Mauritius;57;5.888;01.12;1.402;0,554166667;0,345833333;0,149305556;00.06;2019;
Japan;58;5.886;1.327;1.419;1.088;0,309027778;0.069;00.14;2019;
Honduras;59;0,268055556;0,445833333;1.236;0,575;0,352083333;0,170833333;0.078;2019;
Kazakhstan;60;5.809;1.173;1.508;0,50625;00.41;0,101388889;0.096;2019;
Bolivia;61;5.779;0,538888889;1.209;0,490277778;0,354861111;0,095138889;0.064;2019;
Hungary;62;5.758;1.201;01.41;0,575;0,138194444;0.081;00.02;2019;
Paraguay;63;5.743;0,59375;1.475;0,539583333;0,356944444;0,127777778;00.08;2019;
Northern Cyprus;64;5.718;1.263;1.252;1.042;0,289583333;0,132638889;0,1125;2019;
Peru;65;5.697;0,066666667;1.274;0,593055556;0,315972222;0.083;0.027;2019;
Portugal;66;5.693;1.221;1.431;0,69375;0,352777778;0.047;0.025;2019;
Pakistan;67;5.653;0,470138889;0,615277778;0,371527778;0,217361111;00.22;0.098;2019;
Russia;68;5.648;1.183;1.452;0,504166667;0,231944444;0.082;0.031;2019;
Philippines;69;5.631;0,560416667;1.293;0,45625;0,3875;0,08125;0,074305556;2019;
Serbia;70;5.603;1.004;1.383;0,593055556;0,195833333;0,095138889;0.039;2019;
Moldova;71;5.529;0,475694444;1.328;0,513194444;0,170138889;0,125694444;0;2019;
Libya;72;5.525;1.044;1.303;0,467361111;0,288888889;0,092361111;0,105555556;2019;
Montenegro;73;5.523;1.051;1.361;0,604861111;0,136805556;0,098611111;00.08;2019;
Tajikistan;74;5.467;0,342361111;1.098;0,498611111;0,270138889;00.23;0,1;2019;
Croatia;75;5.432;1.155;1.266;0,634722222;0,205555556;0,082638889;0.022;2019;
Hong Kong;76;05.43;1.438;1.277;1.122;00.44;0,179166667;0,199305556;2019;
Dominican Republic;77;5.425;1.015;1.401;0,540972222;0,345138889;0,078472222;0,070138889;2019;
Bosnia and Herzegovina;78;5.386;0,65625;1.212;0,586805556;0,147222222;0,182638889;0.006;2019;
Turkey;79;5.373;1.183;01.36;0,561111111;0,135416667;0.083;0,073611111;2019;
Malaysia;80;5.339;1.221;1.171;0,575;0,352777778;00.26;0.024;2019;
Belarus;81;5.323;1.067;1.465;0,547916667;0,163194444;0.094;0,098611111;2019;
Greece;82;5.287;1.181;1.156;0,69375;0.067;0;0.034;2019;
Mongolia;83;5.285;0,658333333;1.531;0,463194444;0,220138889;0,163194444;0.038;2019;
North Macedonia;84;5.274;0,682638889;1.294;0,581944444;0,239583333;0,128472222;0.034;2019;
Nigeria;85;5.265;0,483333333;1.111;0,170138889;0,295833333;0,149305556;0.041;2019;
Kyrgyzstan;86;5.261;0,382638889;1.438;0,502083333;0,352777778;00.03;0.023;2019;
Turkmenistan;87;5.247;1.052;1.538;0,45625;0,273611111;0,169444444;0.028;2019;
Algeria;88;5.211;1.002;01.16;0,545138889;0.086;0.073;0,079166667;2019;
Morocco;89;5.208;0,55625;0,543055556;0,543055556;0,290277778;0.036;0.076;2019;
Azerbaijan;90;5.208;1.043;1.147;0,534027778;0,24375;0.035;0,126388889;2019;
Lebanon;91;5.197;0,685416667;1.224;0,565972222;0,15;0,115277778;0.027;2019;
Indonesia;92;5.192;0,646527778;1.203;0,045833333;0,340972222;0,345833333;0.028;2019;
China;93;5.191;1.029;1.125;0,620138889;0,361805556;0.058;00.01;2019;
Vietnam;94;5.175;0,514583333;1.346;0,590972222;0,377083333;0,102083333;0.073;2019;
Bhutan;95;5.082;0,564583333;1.321;0,419444444;0,317361111;00.37;0,115972222;2019;
Cameroon;96;5.044;0,38125;0,063194444;0,229861111;0,264583333;0,129861111;0.037;2019;
Bulgaria;97;5.011;1.092;1.513;0,565972222;0,215972222;0.081;0.004;2019;
Ghana;98;4.996;0,424305556;0,602777778;0,3375;0,264583333;0,170138889;00.04;2019;
Ivory Coast;99;4.944;0,395138889;0,561111111;0,161111111;0,244444444;0,106944444;00.09;2019;
Nepal;100;4.913;0,309722222;1.226;0,470138889;0,304861111;0,197916667;0.089;2019;
Jordan;101;4.906;0,58125;1.225;0,565972222;0,265972222;00.11;00.13;2019;
Benin;102;4.883;0,272916667;0,303472222;0,275694444;0,242361111;0,121527778;0.082;2019;
Congo (Brazzaville);103;4.812;0,467361111;0,554861111;0,352777778;0,258333333;0,072916667;0.093;2019;
Gabon;104;4.799;1.057;1.183;0,396527778;0,204861111;0.043;0.055;2019;
Laos;105;4.796;0,530555556;01.03;0,382638889;0,379861111;0,184722222;0,113888889;2019;
South Africa;106;4.722;0,066666667;1.351;0,325694444;0,270138889;00.13;0.055;2019;
Albania;107;4.719;0,657638889;0,588888889;0,606944444;0,265972222;0,123611111;0.027;2019;
Venezuela;108;4.707;0,066666667;1.427;0,559027778;0,106944444;0.064;0.047;2019;
Cambodia;109;04.07;0,398611111;1.122;0,442361111;0,422916667;0,161111111;0.062;2019;
Palestinian Territories;110;4.696;0,45625;1.247;0,466666667;0,15625;0,071527778;0.066;2019;
Senegal;111;4.681;00.45;1.134;0,396527778;0,202777778;0,10625;0.072;2019;
Somalia;112;4.668;0;0,484722222;0,186111111;0,388194444;0,16875;00.27;2019;
Namibia;113;4.639;0,610416667;1.313;0,33125;0,278472222;00.07;0.056;2019;
Niger;114;4.628;0,095833333;0,5375;0,254166667;0,220833333;0,130555556;0,070833333;2019;
Burkina Faso;115;4.587;0,229861111;1.056;00.38;0,177083333;0,122916667;0,078472222;2019;
Armenia;116;4.559;0,059027778;1.055;0,565972222;0,196527778;0.095;0.064;2019;
Iran;117;4.548;01.01;0,584722222;0,545138889;0,211805556;00.27;0,086805556;2019;
Guinea;118;4.534;00.38;0,575694444;0,260416667;0,230555556;0,14375;0.086;2019;
Georgia;119;4.519;0,615277778;0,4625;0,522222222;0,240277778;0.043;0,113888889;2019;
Gambia;120;4.516;0,213888889;0,652083333;0,297222222;0,265277778;0,186805556;0,115972222;2019;
Kenya;121;4.509;0,355555556;0,682638889;0,403472222;0,299305556;0,258333333;0.053;2019;
Mauritania;122;04.49;00.57;1.167;0,339583333;0.066;0,073611111;0.088;2019;
Mozambique;123;4.466;0,141666667;0,684722222;00.39;0,343055556;0,136805556;0,095833333;2019;
Tunisia;124;4.461;0,639583333;1;0,565972222;0,115972222;0.059;0.055;2019;
Bangladesh;125;4.456;0,390277778;0,644444444;0,502083333;0,365972222;0,115277778;0,099305556;2019;
Iraq;126;4.437;1.043;0,068055556;0,398611111;0,167361111;0,102777778;0.089;2019;
Congo (Kinshasa);127;4.418;0.094;1.125;0,247916667;0,186805556;0,147222222;0.053;2019;
Mali;128;04.39;0,267361111;1.105;0,213888889;0,227083333;0,10625;0.052;2019;
Sierra Leone;129;4.374;0,186111111;0,584027778;0,168055556;0,214583333;0,175;0.045;2019;
Sri Lanka;130;4.366;0,659027778;1.265;0,577083333;00.47;0,169444444;0.047;2019;
Myanmar;131;04.36;0,049305556;1.181;0,385416667;0,364583333;0,393055556;0,119444444;2019;
Chad;132;04.35;00.35;0,531944444;0,133333333;0,120833333;0,1375;0.078;2019;
Ukraine;133;4.332;0,056944444;01.39;0,513194444;0,123611111;0,129861111;00.01;2019;
Ethiopia;134;4.286;0,233333333;1.033;0,369444444;0,238888889;0,145138889;00.01;2019;
Swaziland;135;4.212;0,563194444;1.149;0;0,217361111;0.074;0,09375;2019;
Uganda;136;4.189;0,230555556;1.069;0,307638889;0,247222222;0,175;00.06;2019;
Egypt;137;4.166;0,634027778;1.039;0,447222222;0,167361111;0.076;0.067;2019;
Zambia;138;4.107;0,401388889;1.058;0,295833333;0,299305556;0,171527778;0.087;2019;
Togo;139;4.085;0,190972222;0,397222222;00.41;0,203472222;0,122916667;0.085;2019;
India;140;4.015;0,524305556;0,53125;0,408333333;0,345833333;00.02;0.085;2019;
Liberia;141;3.975;0.073;0,640277778;0,307638889;00.37;0,161805556;0.033;2019;
Comoros;142;3.973;0,190277778;0,525694444;0,350694444;0,098611111;0,190972222;0.078;2019;
Madagascar;143;3.933;0,190277778;0,636111111;0,385416667;0,102777778;0,117361111;0.041;2019;
Lesotho;144;3.802;0,339583333;1.169;0,116666667;0,249305556;0,074305556;0.093;2019;
Burundi;145;3.775;0.046;0,310416667;00.38;00.22;0,122222222;00.18;2019;
Zimbabwe;146;3.663;0,254166667;1.114;0,300694444;0,250694444;0,104861111;0.089;2019;
Haiti;147;3.597;0,224305556;0,477777778;0,311805556;0.026;0,290972222;00.11;2019;
Botswana;148;3.488;1.041;1.145;0,373611111;0,315972222;0.025;00.01;2019;
Syria;149;3.462;0,429861111;0,2625;00.44;0.013;0,229861111;0,097916667;2019;
Malawi;150;03.41;0,132638889;00.56;0,34375;0,307638889;0,151388889;0.089;2019;
Yemen;151;03.38;0,199305556;1.163;0,321527778;0,099305556;0,075;0.077;2019;
Rwanda;152;3.334;0,249305556;0,49375;0,426388889;0,385416667;0,150694444;0,285416667;2019;
Tanzania;153;3.231;0,330555556;0,614583333;0,346527778;0,289583333;0,191666667;0,102083333;2019;
Afghanistan;154;3.203;00.35;0,359027778;0,250694444;0;0,109722222;0.025;2019;
Central African Republic;155;3.083;0.026;0;0,072916667;0,15625;0,163194444;0.035;2019;
South Sudan;156;2.853;0,2125;0,399305556;0,204861111;00.01;0,140277778;0.091;2019;
